time,x_kalman,y_kalman,z_kalman,x_lh,y_lh,z_lh,roll,pitch,yaw
5.26,0.5229147672653198,0.4831489324569702,0.5203588604927063,0.523311972618103,0.47316259145736694,0.5195767879486084,1.8513175249099731,0.1855998933315277,-0.0671682134270668
5.28,0.5220420956611633,0.47907555103302,0.5204319953918457,0.523311972618103,0.47316259145736694,0.5195767879486084,1.156278371810913,0.17163097858428955,-0.25927072763442993
5.3,0.5210819244384766,0.4753907024860382,0.5204899907112122,0.52182936668396,0.4699728488922119,0.5214155316352844,0.44155892729759216,0.15522408485412598,-0.22665973007678986
5.32,0.5201794505119324,0.47322729229927063,0.5209269523620605,0.52182936668396,0.4699728488922119,0.5214155316352844,-0.2990148365497589,0.15383917093276978,-0.20164307951927185
5.34,0.5191890597343445,0.4707982838153839,0.5214828848838806,0.52182936668396,0.4699728488922119,0.5214155316352844,-0.937110960483551,0.12934476137161255,-0.1830877810716629
5.36,0.5183457136154175,0.4688709080219269,0.523545503616333,0.52182936668396,0.4699728488922119,0.5214155316352844,-1.4805704355239868,0.08422379940748215,-0.17213129997253418
5.38,0.5173428654670715,0.4656422734260559,0.5244885683059692,0.5177937746047974,0.46185988187789917,0.5265144109725952,-1.981149673461914,0.050552163273096085,-0.16687889397144318
5.4,0.5164386630058289,0.4625247120857239,0.5258805155754089,0.5168336033821106,0.4601917862892151,0.5278412699699402,-2.43143892288208,0.0036762135569006205,-0.16160938143730164
5.42,0.5153733491897583,0.461065411567688,0.5268473625183105,0.5168336033821106,0.4601917862892151,0.5278412699699402,-2.836284875869751,-0.05934847146272659,-0.13863496482372284
5.44,0.5144464373588562,0.4590032696723938,0.5296088457107544,0.5141667723655701,0.4571414887905121,0.5313751697540283,-3.161885976791382,-0.11672008037567139,-0.11873198300600052
5.46,0.513175904750824,0.45688048005104065,0.5307347774505615,0.5141667723655701,0.4571414887905121,0.5313751697540283,-3.4176526069641113,-0.151860311627388,-0.31473180651664734
5.48,0.5122257471084595,0.4555252492427826,0.5326313376426697,0.5129903554916382,0.45574408769607544,0.5332341194152832,-3.6640162467956543,-0.18358111381530762,-0.27674317359924316
5.5,0.5112794637680054,0.4545348584651947,0.5336534380912781,0.5120947360992432,0.4553104639053345,0.5343183875083923,-3.836270809173584,-0.22261133790016174,-0.2487604171037674
5.52,0.5104333758354187,0.4540439248085022,0.5345703959465027,0.5112694501876831,0.45519858598709106,0.5353319644927979,-3.916537284851074,-0.28730130195617676,-0.23987345397472382
5.54,0.5095071196556091,0.4537368714809418,0.535902738571167,0.5104002356529236,0.45540595054626465,0.5362976789474487,-3.9497287273406982,-0.3864096701145172,-0.23589082062244415
5.56,0.5085133910179138,0.45348161458969116,0.536551296710968,0.5104002356529236,0.45540595054626465,0.5362976789474487,-3.9414241313934326,-0.46123796701431274,-0.2255883365869522
