time,x_kalman,y_kalman,z_kalman,x_lh,y_lh,z_lh,roll,pitch,yaw,motor.m1,motor.m2,motor.m3,motor.m4,rpm.m1,rpm.m2,rpm.m3,rpm.m4,controller.cmd_thrust,controller.cmd_roll,controller.cmd_pitch,controller.cmd_yaw
18.48,-0.0050972201861441135,-0.002460588002577424,0.501185953617096,0.0,0.0,0.0,0.04545031115412712,-0.34876492619514465,-0.6489707827568054,38710.0,43198.0,37850.0,43934.0,0,0,0,0,40923.51953125,-1709.0,-1900.0,-2707.0
18.501,-0.005450617056339979,-0.0021665527019649744,0.5003793239593506,0.0,0.0,0.0,0.06387323141098022,-0.33213382959365845,-0.6353282332420349,38000.0,45098.0,38700.0,41946.0,0,0,0,0,40936.515625,-1451.0,-2158.0,-2550.0
18.521,-0.005497739650309086,-0.0018621094059199095,0.5002115368843079,0.0,0.0,0.0,0.08107365667819977,-0.36896294355392456,-0.6178446412086487,38039.0,45337.0,38481.0,41487.0,0,0,0,0,40836.453125,-640.0,-2067.0,-2601.0
18.54,-0.005393986590206623,-0.0016361483139917254,0.5003846883773804,0.0,0.0,0.0,0.12589646875858307,-0.3205735981464386,-0.5924364328384399,37235.0,43911.0,39747.0,41727.0,0,0,0,0,40655.2578125,-1270.0,-3237.0,-2647.0
18.561,-0.00557347247377038,-0.0014489167369902134,0.5009608864784241,0.0,0.0,0.0,0.16977258026599884,-0.3005688488483429,-0.5464840531349182,37215.0,45929.0,39395.0,39625.0,0,0,0,0,40541.3515625,-518.0,-326.0,-2665.0
18.58,-0.006000460125505924,-0.0012716660276055336,0.5006352066993713,0.0,0.0,0.0,0.1717090606689453,-0.27177953720092773,-0.5163757801055908,36739.0,45857.0,39353.0,40955.0,0,0,0,0,40726.109375,-1172.0,50.0,-2695.0
18.6,-0.006032149773091078,-0.0010322852758690715,0.5006210803985596,0.0,0.0,0.0,0.15814487636089325,-0.25013551115989685,-0.5227137804031372,36394.0,44464.0,39984.0,41366.0,0,0,0,0,40552.66015625,-1791.0,-2377.0,-2659.0
18.62,-0.005867806728929281,-0.0009146232041530311,0.501889705657959,0.0,0.0,0.0,0.13268886506557465,-0.25648462772369385,-0.5158622860908508,37439.0,45683.0,37895.0,40551.0,0,0,0,0,40392.51953125,-893.0,-1280.0,-2670.0
18.64,-0.005817726254463196,-0.0007007882813923061,0.5020958781242371,0.0,0.0,0.0,0.09687166661024094,-0.23494680225849152,-0.5206251740455627,37109.0,44755.0,38109.0,41207.0,0,0,0,0,40295.15625,-2429.0,-1430.0,-2608.0
18.662,-0.005907577462494373,-0.0006578453467227519,0.5026358962059021,0.0,0.0,0.0,0.11082583665847778,-0.2577595114707947,-0.5065776705741882,39025.0,44017.0,36289.0,42085.0,0,0,0,0,40354.9921875,-1375.0,-1686.0,-2702.0
18.681,-0.005635126959532499,-0.0003458182909525931,0.5026305913925171,0.0,0.0,0.0,0.12357822060585022,-0.2881965935230255,-0.5114966034889221,39035.0,44273.0,36301.0,41967.0,0,0,0,0,40394.63671875,-1317.0,-3866.0,-2699.0
18.701,-0.005573442205786705,-0.00016531921573914587,0.5027466416358948,0.0,0.0,0.0,0.1491500735282898,-0.29315271973609924,-0.508789598941803,36133.0,45861.0,39367.0,40323.0,0,0,0,0,40421.5546875,-1546.0,-3016.0,-2722.0
18.72,-0.005462333094328642,5.590617365669459e-05,0.5028412938117981,0.0,0.0,0.0,0.161121666431427,-0.2864926755428314,-0.5149664282798767,36538.0,45842.0,39044.0,40328.0,0,0,0,0,40438.50390625,-2660.0,-564.0,-2732.0
18.74,-0.005332055501639843,0.00023092608898878098,0.5029498934745789,0.0,0.0,0.0,0.17009767889976501,-0.25229647755622864,-0.5168649554252625,38679.0,43453.0,36593.0,42711.0,0,0,0,0,40359.2578125,-1808.0,-4969.0,-2641.0
18.761,-0.0050521837547421455,0.0003903378383256495,0.503448486328125,0.0,0.0,0.0,0.1892348825931549,-0.22955703735351562,-0.5189845561981201,37725.0,44853.0,37911.0,41319.0,0,0,0,0,40452.81640625,-1304.0,-2308.0,-2657.0
