time,motor.m1,motor.m2,motor.m3,motor.m4,stabilizer.thrust,stabilizer.roll,stabilizer.pitch,stabilizer.yaw
2.1915581226348877,39728.0,43178.0,42504.0,42590.0,42000.0,4.695854187011719,-0.3636822998523712,-1.8192312717437744
2.210906982421875,38068.0,43234.0,44468.0,42230.0,42000.0,4.330791473388672,-0.2876308560371399,-1.8274509906768799
2.2315244674682617,41665.0,43171.0,41225.0,41939.0,42000.0,4.332176208496094,-0.19340603053569794,-1.6650547981262207
2.251073122024536,42972.0,40622.0,39850.0,44556.0,42000.0,4.324744701385498,-0.25391799211502075,-1.654489278793335
2.270566701889038,40661.0,41349.0,42337.0,43653.0,42000.0,4.417688369750977,-0.3906034231185913,-1.5061668157577515
2.2917118072509766,39843.0,44057.0,42991.0,41109.0,42000.0,4.50333309173584,-0.47150400280952454,-1.3984565734863281
2.31209135055542,40556.0,43634.0,41846.0,41964.0,42000.0,4.6257219314575195,-0.43822917342185974,-1.3710532188415527
2.332712173461914,39494.0,42576.0,42804.0,43126.0,42000.0,4.648388862609863,-0.43685558438301086,-1.3069285154342651
2.351738452911377,39960.0,43698.0,42024.0,42318.0,42000.0,4.651857376098633,-0.3970109820365906,-1.2856289148330688
2.37243914604187,39370.0,42838.0,42596.0,43196.0,42000.0,4.677545547485352,-0.3431031405925751,-1.2767912149429321
2.3929619789123535,38987.0,43701.0,43061.0,42251.0,42000.0,4.695683002471924,-0.2872655689716339,-1.2843624353408813
2.4140195846557617,39356.0,44230.0,43066.0,41348.0,42000.0,4.686732292175293,-0.14701101183891296,-1.2668858766555786
2.4328103065490723,40342.0,43180.0,35978.0,36500.0,39000.0,4.715888977050781,-0.0449414998292923,-1.2479232549667358
2.4515631198883057,37868.0,41222.0,38572.0,38338.0,39000.0,4.695253849029541,0.006714613176882267,-1.2125149965286255
2.471517324447632,34873.0,38651.0,41589.0,40887.0,39000.0,4.254892826080322,-0.015749555081129074,-1.1432749032974243
2.4918558597564697,35276.0,38640.0,41374.0,40710.0,39000.0,3.411313533782959,-0.06254711002111435,-1.1090564727783203
2.511322021484375,35918.0,40336.0,40900.0,38846.0,39000.0,2.150432825088501,-0.06564468890428543,-1.2008178234100342
2.5313262939453125,37368.0,39668.0,39460.0,39504.0,39000.0,1.6566189527511597,-0.03581605851650238,-1.127946138381958
