time,x_kalman,y_kalman,z_kalman,x_lh,y_lh,z_lh,roll,pitch,yaw,target.x,target.y,target.z,target.vx,target.vy,target.vz,target.ax,target.ay,target.az,target.roll,target.pitch,target.yaw,motor.m1,motor.m2,motor.m3,motor.m4,rpm.m1,rpm.m2,rpm.m3,rpm.m4,controller.cmd_thrust,controller.cmd_roll,controller.cmd_pitch,controller.cmd_yaw
0.48,0.003758287988603115,-0.028625933453440666,0.005663392599672079,0.0,0.0,0.0,1.2841312885284424,4.033662796020508,-1.9186582565307617,0.0,0.0,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36395.0,43239.0,38705.0,39197.0,0,0,0,0,41608.1953125,-3152.0,-2360.0,-1827.0
0.5,-0.0010732874507084489,-0.03344309329986572,0.004581330809742212,0.0,0.0,0.0,0.6148129105567932,3.6031334400177,-1.954481840133667,0.0,0.0,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38309.0,47621.0,40455.0,38123.0,0,0,0,0,40813.7421875,-931.0,-3307.0,-1689.0
0.52,-0.0053998385556042194,-0.03881571441888809,0.006385088432580233,0.0,0.0,0.0,0.07141438871622086,3.0986342430114746,-2.012732744216919,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37383.0,43619.0,38957.0,39749.0,0,0,0,0,39551.59375,-2283.0,-4396.0,-2155.0
0.54,-0.010741054080426693,-0.041704852133989334,0.011461528949439526,0.0,0.0,0.0,-0.47901710867881775,2.621351718902588,-2.0135910511016846,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36152.0,41794.0,38458.0,39884.0,0,0,0,0,38680.52734375,1044.0,-691.0,-2198.0
0.56,-0.014484895393252373,-0.044867902994155884,0.015421470627188683,0.0,0.0,0.0,-1.061540126800537,1.9533132314682007,-2.048851728439331,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34594.0,41374.0,35826.0,35770.0,0,0,0,0,36434.546875,-1291.0,-2688.0,-2029.0
0.58,-0.021193046122789383,-0.04864631965756416,0.0275692380964756,0.0,0.0,0.0,-1.7068740129470825,1.2320489883422852,-2.069981813430786,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34936.0,39424.0,33678.0,36162.0,0,0,0,0,38157.10546875,-2766.0,691.0,-2212.0
0.6,-0.024752236902713776,-0.05158936604857445,0.03355325385928154,0.0,0.0,0.0,-2.304701566696167,0.37848302721977234,-2.107897996902466,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35556.0,40674.0,34360.0,35966.0,0,0,0,0,36343.95703125,-1991.0,-2652.0,-2029.0
0.62,-0.02995133399963379,-0.05456359684467316,0.04712073504924774,0.0,0.0,0.0,-2.7420573234558105,-0.4274473190307617,-2.1414899826049805,0.0,0.0,0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33122.0,40546.0,35880.0,34944.0,0,0,0,0,35880.015625,-506.0,-1229.0,-1857.0
0.64,-0.03286093473434448,-0.05586612969636917,0.05466572940349579,0.0,0.0,0.0,-3.1205976009368896,-1.209675908088684,-2.1606454849243164,0.0,0.0,0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32088.0,39226.0,36112.0,35598.0,0,0,0,0,34223.578125,-850.0,-3059.0,-1817.0
0.66,-0.03563088923692703,-0.05667883902788162,0.06230640783905983,0.0,0.0,0.0,-3.5299274921417236,-1.8668856620788574,-2.170823335647583,0.0,0.0,0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30260.0,39528.0,34722.0,32010.0,0,0,0,0,34012.67578125,-1193.0,-3447.0,-1666.0
