time,x_kalman,y_kalman,z_kalman,x_lh,y_lh,z_lh,roll,pitch,yaw,motor.m1,motor.m2,motor.m3,motor.m4,stabilizer.thrust,stabilizer.roll,stabilizer.pitch,stabilizer.yaw
8.58,-0.02778341807425022,0.265200138092041,0.5110278129577637,-0.04109066352248192,0.4967169761657715,0.5413889288902283,1.5286810398101807,-0.13412627577781677,1.1683018207550049,44090.0,40578.0,45466.0,39546.0,42420.03515625,0.7363902926445007,-0.09567618370056152,1.1612130403518677
8.6,-0.02606850117444992,0.2464667707681656,0.5058213472366333,-0.04109066352248192,0.4967169761657715,0.5413889288902283,0.056422390043735504,-0.06385240703821182,1.1511543989181519,42858.0,39864.0,47414.0,40896.0,42758.84765625,-0.7114494442939758,-0.0019303428707644343,1.1417174339294434
8.62,-0.02519567683339119,0.23649103939533234,0.5050896406173706,-0.04109066352248192,0.4967169761657715,0.5413889288902283,-1.5527652502059937,0.024475786834955215,1.1450293064117432,43224.0,40402.0,45728.0,39898.0,42313.28125,-2.2494823932647705,0.05182329937815666,1.1347984075546265
8.64,-0.024286659434437752,0.21876071393489838,0.5019203424453735,-0.04109066352248192,0.4967169761657715,0.5413889288902283,-2.9976654052734375,0.1060522273182869,1.130858302116394,42262.0,41112.0,47014.0,38988.0,42344.2109375,-3.651550054550171,0.16434286534786224,1.1232783794403076
8.66,-0.023645570501685143,0.2010357528924942,0.5015727281570435,-0.04109066352248192,0.4967169761657715,0.5413889288902283,-4.338021755218506,0.23897016048431396,1.1233385801315308,44873.0,40787.0,43103.0,38937.0,41925.0859375,-4.923213005065918,0.27006885409355164,1.1076133251190186
8.68,-0.02248106524348259,0.18506324291229248,0.502549946308136,-0.04109066352248192,0.4967169761657715,0.5413889288902283,-5.545229434967041,0.28883683681488037,1.0765411853790283,42450.0,39338.0,44212.0,39328.0,41332.34375,-6.052676677703857,0.32665884494781494,1.0547950267791748
8.7,-0.02147127315402031,0.16599111258983612,0.5029579997062683,-0.04109066352248192,0.4967169761657715,0.5413889288902283,-6.626295566558838,0.36053937673568726,1.0283440351486206,40286.0,40554.0,45504.0,37456.0,40950.02734375,-7.106420040130615,0.3765135109424591,0.9950329065322876
8.72,-0.01955758035182953,0.15046313405036926,0.5061330199241638,-0.04109066352248192,0.4967169761657715,0.5413889288902283,-7.66003942489624,0.4118088185787201,0.972200334072113,42730.0,37792.0,41524.0,38710.0,40189.03515625,-8.117475509643555,0.4362221658229828,0.9480503797531128
8.74,-0.018390098586678505,0.1362222284078598,0.5072565674781799,-0.04109066352248192,0.4967169761657715,0.5413889288902283,-8.613725662231445,0.445811003446579,0.9164513349533081,38682.0,38282.0,44738.0,38154.0,39964.515625,-8.960213661193848,0.4299766719341278,0.8657969832420349
8.76,-0.016832072287797928,0.12269330024719238,0.5084801316261292,-0.04109066352248192,0.4967169761657715,0.5413889288902283,-9.383172035217285,0.4254789650440216,0.815768301486969,38448.0,38202.0,43068.0,37226.0,39236.7421875,-9.7130708694458,0.4340415596961975,0.7686290740966797
8.78,-0.015794649720191956,0.10908215492963791,0.5131446123123169,-0.04109066352248192,0.4967169761657715,0.5413889288902283,-10.090741157531738,0.4784676432609558,0.712139368057251,38959.0,37867.0,42597.0,37389.0,39203.60546875,-10.42697811126709,0.5174345374107361,0.6662046909332275
8.8,-0.014959556050598621,0.09611149877309799,0.5146227478981018,-0.04109066352248192,0.4967169761657715,0.5413889288902283,-10.691125869750977,0.5540067553520203,0.618474543094635,41263.0,37427.0,39859.0,38399.0,39237.3046875,-10.915688514709473,0.5619351863861084,0.5604807734489441
8.82,-0.014495599083602428,0.08408617973327637,0.5206989049911499,-0.04109066352248192,0.4967169761657715,0.5413889288902283,-11.04178524017334,0.573176920413971,0.4890778958797455,38523.0,38661.0,41037.0,35867.0,38522.33984375,-11.196809768676758,0.5996136665344238,0.42802920937538147
8.84,-0.01334334909915924,0.07277289777994156,0.522345244884491,-0.04109066352248192,0.4967169761657715,0.5413889288902283,-11.278136253356934,0.6077557802200317,0.36189132928848267,40143.0,38439.0,39199.0,36731.0,38628.12890625,-11.399676322937012,0.6461735963821411,0.29989081621170044
8.86,-0.012592596933245659,0.06274473667144775,0.5244593024253845,-0.04109066352248192,0.4967169761657715,0.5413889288902283,-11.449528694152832,0.685668408870697,0.23452439904212952,38496.0,39192.0,40492.0,36764.0,38736.98046875,-11.517862319946289,0.7198657393455505,0.15459759533405304
8.88,-0.01151319034397602,0.05421237647533417,0.5256819128990173,-0.04109066352248192,0.4967169761657715,0.5413889288902283,-11.521849632263184,0.7283596396446228,0.07052610069513321,38886.0,37392.0,40608.0,39074.0,38990.7578125,-11.5537748336792,0.7218519449234009,-0.008277847431600094
8.9,-0.011037101037800312,0.04572715610265732,0.5280147790908813,-0.04109066352248192,0.4967169761657715,0.5413889288902283,-11.525769233703613,0.7283810973167419,-0.08599530160427094,38934.0,38650.0,40264.0,38240.0,39022.515625,-11.539185523986816,0.7581912875175476,-0.1519513577222824
8.92,-0.00904858112335205,0.0390230193734169,0.528829038143158,-0.04109066352248192,0.4967169761657715,0.5413889288902283,-11.471131324768066,0.7517075538635254,-0.22893303632736206,39599.0,37915.0,39927.0,39703.0,39286.45703125,-11.345990180969238,0.7757236957550049,-0.31382036209106445
8.94,-0.008780828677117825,0.032539255917072296,0.5303886532783508,-0.04109066352248192,0.4967169761657715,0.5413889288902283,-11.234575271606445,0.7790433764457703,-0.38578319549560547,37518.0,41148.0,42472.0,36398.0,39384.01953125,-11.081087112426758,0.7702503204345703,-0.4468497335910797
8.96,-0.008153261616826057,0.025080900639295578,0.5307973027229309,-0.04109066352248192,0.4967169761657715,0.5413889288902283,-10.930526733398438,0.7956205606460571,-0.49868324398994446,37349.0,39829.0,43059.0,38403.0,39660.796875,-10.783642768859863,0.804266095161438,-0.5666266083717346
8.98,-0.0060117715038359165,0.0195944644510746,0.5309534072875977,-0.04109066352248192,0.4967169761657715,0.5413889288902283,-10.62827205657959,0.8086521625518799,-0.6274431943893433,39484.0,39686.0,41274.0,39500.0,39986.59765625,-10.434479713439941,0.8269991874694824,-0.6860031485557556
9.0,-0.005197194404900074,0.013478927314281464,0.5305877327919006,-0.04109066352248192,0.4967169761657715,0.5413889288902283,-10.249725341796875,0.8155180215835571,-0.741046667098999,39505.0,41091.0,41675.0,38485.0,40189.0859375,-10.049850463867188,0.8081287145614624,-0.7904168963432312
9.02,-0.004261445719748735,0.009736994281411171,0.5303745269775391,-0.04109066352248192,0.4967169761657715,0.5413889288902283,-9.819524765014648,0.7909124493598938,-0.8201683759689331,40300.0,40712.0,41244.0,39048.0,40326.88671875,-9.664182662963867,0.796974241733551,-0.8669202923774719
9.04,-0.0017557749524712563,0.008654555305838585,0.5275959372520447,-0.04109066352248192,0.4967169761657715,0.5413889288902283,-9.450732231140137,0.8035758137702942,-0.8733494281768799,38786.0,40172.0,44100.0,40526.0,40896.2578125,-9.238137245178223,0.8492963314056396,-0.9113151431083679
9.06,-0.00101672753226012,0.007343156263232231,0.526950478553772,-0.04109066352248192,0.4967169761657715,0.5413889288902283,-8.972091674804688,0.8885908722877502,-0.9028306007385254,41944.0,40348.0,40512.0,41172.0,40994.0234375,-8.663286209106445,0.9414427280426025,-0.9447708129882812
9.08,0.0005075825611129403,0.006021364592015743,0.5264002084732056,-0.04109066352248192,0.4967169761657715,0.5413889288902283,-8.356237411499023,0.8985225558280945,-0.9639256596565247,40004.0,42664.0,42460.0,38868.0,40999.40234375,-8.097662925720215,0.8821414709091187,-1.0151689052581787
9.1,0.0004059900529682636,0.006317114923149347,0.525769829750061,-0.04109066352248192,0.4967169761657715,0.5413889288902283,-7.801555156707764,0.9153515100479126,-1.0331329107284546,39609.0,40693.0,43013.0,40585.0,40975.66796875,-7.5317277908325195,0.9177619814872742,-1.070870280265808
9.12,0.0018945075571537018,0.006426554638892412,0.5225574970245361,-0.04109066352248192,0.4967169761657715,0.5413889288902283,-7.21807336807251,0.9188792705535889,-1.089073896408081,41441.0,41303.0,41737.0,41143.0,41406.921875,-6.854043006896973,0.926063060760498,-1.1401690244674683
9.14,0.0036163851618766785,0.008769465610384941,0.5217906832695007,-0.04109066352248192,0.4967169761657715,0.5413889288902283,-6.52726936340332,0.913045346736908,-1.155297875404358,41608.0,43202.0,41400.0,39086.0,41324.1953125,-6.159881114959717,0.9421940445899963,-1.1948083639144897
9.16,0.0034137899056077003,0.009396009147167206,0.5190649628639221,-0.04109066352248192,0.4967169761657715,0.5413889288902283,-5.822182655334473,0.9748304486274719,-1.1815128326416016,42268.0,43228.0,41726.0,39234.0,41614.453125,-5.49869441986084,1.000239610671997,-1.2053135633468628
9.18,0.003445828566327691,0.014567792415618896,0.5182901620864868,-0.04109066352248192,0.4967169761657715,0.5413889288902283,-5.149373531341553,1.0132189989089966,-1.2140698432922363,40071.0,42587.0,43485.0,39869.0,41503.265625,-4.770955562591553,1.0001959800720215,-1.2540717124938965
9.2,0.004124712198972702,0.019168691709637642,0.517650842666626,-0.04109066352248192,0.4967169761657715,0.5413889288902283,-4.434166431427002,0.9754502177238464,-1.2676125764846802,42400.0,44530.0,41002.0,38528.0,41615.72265625,-4.010445594787598,0.9401720762252808,-1.3129973411560059
9.22,0.005073966458439827,0.023347165435552597,0.5156224966049194,-0.04109066352248192,0.4967169761657715,0.5413889288902283,-3.6383817195892334,0.9180601835250854,-1.3142225742340088,40415.0,44011.0,42887.0,38527.0,41460.234375,-3.228672981262207,0.902131974697113,-1.34363853931427
