time,x_kalman,y_kalman,z_kalman,x_lh,y_lh,z_lh,roll,pitch,yaw,F,R,Z,B,C,X,S,T,Y,motor.m1,motor.m2,motor.m3,motor.m4,rpm.m1,rpm.m2,rpm.m3,rpm.m4,controller.cmd_thrust,controller.cmd_roll,controller.cmd_pitch,controller.cmd_yaw
10.08,2.0378899574279785,-0.0007809210801497102,0.5154663324356079,0.0,0.0,0.0,0.09938528388738632,0.5910853147506714,0.880309522151947,-0.017057564109563828,2.858880043029785,0.5154373645782471,1.2732435464859009,3.1512441635131836,2.038402795791626,-3.2671165466308594,2.8178834915161133,-0.0034364312887191772,34473.0,42441.0,38217.0,36453.0,0,0,0,0,37896.28125,-1094.0,-2862.0,-1610.0
10.1,2.038555860519409,-0.009485049173235893,0.5153788328170776,0.0,0.0,0.0,-0.06699255853891373,0.4807233512401581,0.8896843791007996,-0.017057642340660095,2.858880043029785,0.515322744846344,1.29147469997406,3.148474931716919,2.0377368927001953,-3.2619283199310303,2.8180718421936035,-0.020129822194576263,35991.0,41621.0,37625.0,37679.0,0,0,0,0,38229.6875,-1390.0,-3597.0,-1555.0
10.12,2.0372743606567383,-0.021342843770980835,0.5136452913284302,0.0,0.0,0.0,-0.06799756735563278,0.48300331830978394,0.899390697479248,-0.01705777272582054,2.8589377403259277,0.5134931206703186,1.2915672063827515,3.1485674381256104,2.0371556282043457,-3.2604849338531494,2.8195152282714844,-0.024248473346233368,36318.0,39948.0,37308.0,39326.0,0,0,0,0,38225.22265625,-1163.0,-1624.0,-1591.0
10.14,2.03727126121521,-0.03012022376060486,0.5133612155914307,0.0,0.0,0.0,0.045815594494342804,0.5085656642913818,0.9158445596694946,-0.017061056569218636,2.858934164047241,0.5132309794425964,1.2933188676834106,3.1503193378448486,2.037707567214966,-3.2589118480682373,2.8210883140563965,-0.033719222992658615,35582.0,40496.0,37562.0,38680.0,0,0,0,0,38080.5859375,-1252.0,-881.0,-1495.0
10.16,2.035911798477173,-0.04051076993346214,0.513882577419281,0.0,0.0,0.0,0.14678220450878143,0.452212393283844,0.9284749627113342,-0.01705991104245186,2.85895037651062,0.5137839913368225,1.2941781282424927,3.1511785984039307,2.0373799800872803,-3.257850170135498,2.8221499919891357,-0.043616048991680145,35358.0,38348.0,37110.0,40360.0,0,0,0,0,37794.3125,1397.0,-2992.0,-1603.0
10.18,2.036407232284546,-0.05084539204835892,0.5150502324104309,0.0,0.0,0.0,0.15249113738536835,0.3488363027572632,0.9489932656288147,-0.017060821875929832,2.8587679862976074,0.5150439143180847,1.3032445907592773,3.15024471282959,2.0366029739379883,-3.2493231296539307,2.8086774349212646,-0.053843725472688675,34250.0,40890.0,37976.0,37904.0,0,0,0,0,37755.88671875,-2401.0,-3108.0,-1622.0
10.2,2.0358471870422363,-0.06009304150938988,0.5150573253631592,0.0,0.0,0.0,0.07509814947843552,0.3146764934062958,0.9624624848365784,-0.017063478007912636,2.8587448596954346,0.5141730904579163,1.3036580085754395,3.150657892227173,2.035748243331909,-3.2481136322021484,2.809886932373047,-0.06359168142080307,35772.0,41886.0,36954.0,37072.0,0,0,0,0,37921.71484375,-1889.0,-1773.0,-1585.0
10.22,2.0345072746276855,-0.07065264880657196,0.5141211748123169,0.0,0.0,0.0,0.10987601429224014,0.3216874301433563,0.9594294428825378,-0.017062362283468246,2.85874605178833,0.5140799880027771,1.3035154342651367,3.15051531791687,2.0342893600463867,-3.247408866882324,2.810591697692871,-0.07378295809030533,35978.0,41262.0,36520.0,37460.0,0,0,0,0,37805.87890625,-582.0,-1059.0,-1592.0
10.242,2.0335826873779297,-0.08534924685955048,0.5145378708839417,0.0,0.0,0.0,0.35328489542007446,0.37026500701904297,0.9682617783546448,-0.017063667997717857,2.8586881160736084,0.5145378708839417,1.3100672960281372,3.1330673694610596,2.0344338417053223,-3.254190444946289,2.815809965133667,-0.08569683879613876,35346.0,39250.0,37056.0,39508.0,0,0,0,0,37790.8359375,-1354.0,-1401.0,-1545.0
10.26,2.033787727355957,-0.09031535685062408,0.5146991610527039,0.0,0.0,0.0,0.407253623008728,0.34217116236686707,0.9705415368080139,-0.017064249143004417,2.858692169189453,0.5146912336349487,1.3101489543914795,3.133148670196533,2.0332367420196533,-3.2549498081207275,2.8150506019592285,-0.09754564613103867,33470.0,38836.0,39120.0,39882.0,0,0,0,0,37827.39453125,1420.0,-1608.0,-1528.0
10.28,2.032524585723877,-0.10074632614850998,0.5146803259849548,0.0,0.0,0.0,0.4142412543296814,0.2615295350551605,0.9733486771583557,-0.01706450618803501,2.858691692352295,0.5146566033363342,1.3109591007232666,3.1339588165283203,2.0328481197357178,-3.254060983657837,2.815939426422119,-0.10765036195516586,34900.0,42464.0,37454.0,36374.0,0,0,0,0,37798.15234375,-621.0,-2761.0,-1642.0
10.302,2.0316734313964844,-0.11169685423374176,0.5149303078651428,0.0,0.0,0.0,0.3475840091705322,0.20493264496326447,0.9823423027992249,-0.01706424355506897,2.8586618900299072,0.5149046182632446,1.3051338195800781,3.1521334648132324,2.0314929485321045,-3.248769760131836,2.811230182647705,-0.11830595135688782,34988.0,41572.0,38202.0,37942.0,0,0,0,0,38176.9921875,-2254.0,-1219.0,-1541.0
10.32,2.0312588214874268,-0.1208050325512886,0.5131657719612122,0.0,0.0,0.0,0.3365817666053772,0.2497052401304245,0.9811877608299255,-0.017065931111574173,2.8586132526397705,0.513034462928772,1.3050543069839478,3.1520540714263916,2.030116558074951,-3.2490715980529785,2.8109283447265625,-0.12972699105739594,36449.0,41041.0,36723.0,38639.0,0,0,0,0,38213.875,1.0,-1280.0,-1629.0
10.34,2.02939772605896,-0.132442906498909,0.5128969550132751,0.0,0.0,0.0,0.46759718656539917,0.3093412518501282,0.9786733388900757,-0.0170652624219656,2.858613967895508,0.5127537846565247,1.3060544729232788,3.1530542373657227,2.0299298763275146,-3.2473671436309814,2.8126327991485596,-0.1389514058828354,35459.0,40431.0,37975.0,39119.0,0,0,0,0,38246.29296875,602.0,-1915.0,-1529.0
10.36,2.030080795288086,-0.1423085480928421,0.5126189589500427,0.0,0.0,0.0,0.5305242538452148,0.21737229824066162,0.9756953716278076,-0.017066562548279762,2.858612537384033,0.512376070022583,1.3041749000549316,3.156175136566162,2.030216932296753,-3.2508983612060547,2.8091018199920654,-0.15172311663627625,34006.0,38824.0,39036.0,40658.0,0,0,0,0,38131.58203125,3023.0,-1536.0,-1646.0
10.38,2.0304532051086426,-0.15459054708480835,0.5129580497741699,0.0,0.0,0.0,0.4408304691314697,0.1133231446146965,0.98429936170578,-0.01706800051033497,2.858630657196045,0.5129580497741699,1.3057758808135986,3.157776355743408,2.0307486057281494,-3.250412702560425,2.8095874786376953,-0.16226442158222198,35468.0,42228.0,37286.0,37390.0,0,0,0,0,38093.921875,-198.0,-2068.0,-1622.0
10.4,2.029536724090576,-0.16525235772132874,0.5127655267715454,0.0,0.0,0.0,0.3123585283756256,0.1023891419172287,0.9747433066368103,-0.017068134620785713,2.858630657196045,0.5127655267715454,1.3057143688201904,3.15771484375,2.0295424461364746,-3.2508344650268555,2.8091657161712646,-0.17382380366325378,36463.0,40427.0,36385.0,38937.0,0,0,0,0,38053.84375,-784.0,-706.0,-1629.0
10.42,2.0292935371398926,-0.17545951902866364,0.5126191973686218,0.0,0.0,0.0,0.35008350014686584,0.12965326011180878,0.9524193406105042,-0.01706765592098236,2.8585779666900635,0.513244092464447,1.2946597337722778,3.1576597690582275,2.0279629230499268,-3.2450320720672607,2.827968120574951,-0.18364378809928894,35704.0,41510.0,37160.0,38154.0,0,0,0,0,38132.6796875,-580.0,-639.0,-1606.0
10.44,2.028486728668213,-0.1818799376487732,0.512229323387146,0.0,0.0,0.0,0.4275283217430115,0.153151273727417,0.9438932538032532,-0.017068620771169662,2.858546495437622,0.5121415853500366,1.2949440479278564,3.1579442024230957,2.027679443359375,-3.245321035385132,2.82767915725708,-0.18946975469589233,36173.0,41283.0,36839.0,38269.0,0,0,0,0,38141.453125,1070.0,-2422.0,-1625.0
10.46,2.0277559757232666,-0.191656231880188,0.5120598077774048,0.0,0.0,0.0,0.5035709142684937,0.13878676295280457,0.9387041330337524,-0.017069155350327492,2.858546018600464,0.5119683742523193,1.2953200340270996,3.158320188522339,2.0269346237182617,-3.2437102794647217,2.8292899131774902,-0.198769211769104,33533.0,38135.0,38969.0,41971.0,0,0,0,0,38152.69140625,1599.0,-1824.0,-1747.0
10.48,2.0270235538482666,-0.20155741274356842,0.5118902921676636,0.0,0.0,0.0,0.4444657862186432,0.11191001534461975,0.9347304105758667,-0.017069654539227486,2.8585455417633057,0.51180100440979,1.2643333673477173,3.1593332290649414,2.0266823768615723,-3.2390763759613037,2.8289239406585693,-0.21466350555419922,35304.0,41408.0,37136.0,38424.0,0,0,0,0,38068.77734375,-1737.0,-1553.0,-1748.0
