time,x_kalman,y_kalman,z_kalman,x_lh,y_lh,z_lh,roll,pitch,yaw,motor.m1,motor.m2,motor.m3,motor.m4,stabilizer.thrust,stabilizer.roll,stabilizer.pitch,stabilizer.yaw
7.36,0.024787120521068573,0.5255443453788757,0.5363022685050964,0.0,0.0,0.0,0.6474854350090027,-0.45331305265426636,0.2720910310745239,38896.0,41198.0,40750.0,38092.0,39734.62890625,0.6805443167686462,-0.057114485651254654,0.25161781907081604
7.38,0.032252952456474304,0.5250303745269775,0.5388126373291016,0.0,0.0,0.0,0.6807255744934082,-0.0750223845243454,0.2517889738082886,39178.0,40378.0,39734.0,38146.0,39359.41796875,0.6966490149497986,0.31205135583877563,0.23379941284656525
7.4,0.03308573737740517,0.5248212218284607,0.5378283262252808,0.0,0.0,0.0,0.6966490149497986,0.31205135583877563,0.23379941284656525,38126.0,40766.0,40718.0,37862.0,39368.79296875,0.6909990310668945,0.7291572093963623,0.22285246849060059
7.42,0.032318972051143646,0.5250520706176758,0.5379227995872498,0.0,0.0,0.0,0.6909990310668945,0.7291572093963623,0.22285246849060059,39326.0,41554.0,39766.0,36874.0,39380.80859375,0.6869208216667175,0.9371817111968994,0.21426689624786377
7.44,0.0357634499669075,0.5245861411094666,0.5378798842430115,0.0,0.0,0.0,0.6840287446975708,1.115970253944397,0.21342679858207703,38999.0,40383.0,40113.0,38097.0,39398.62890625,0.695538341999054,1.2867178916931152,0.2110098898410797
7.46,0.04098302870988846,0.5243546366691589,0.5377576351165771,0.0,0.0,0.0,0.704825222492218,1.4571176767349243,0.21141251921653748,38536.0,41230.0,40364.0,37586.0,39429.69140625,0.7082757353782654,1.613970160484314,0.20773188769817352
7.48,0.04125360772013664,0.5228012800216675,0.5413095951080322,0.0,0.0,0.0,0.7162318229675293,1.7693196535110474,0.20375874638557434,38292.0,40096.0,39958.0,38358.0,39176.61328125,0.6926240921020508,1.9046720266342163,0.1926293671131134
7.5,0.04102836921811104,0.5235148072242737,0.5393238067626953,0.0,0.0,0.0,0.6716583967208862,2.0393753051757812,0.17935629189014435,38242.0,41274.0,40122.0,37206.0,39211.4296875,0.656908392906189,2.1782641410827637,0.16826188564300537
7.52,0.04247499629855156,0.5233461260795593,0.5393573641777039,0.0,0.0,0.0,0.63334721326828,2.3124606609344482,0.15998712182044983,38399.0,41199.0,40581.0,37509.0,39422.859375,0.6161338090896606,2.5314712524414062,0.1480780690908432
7.54,0.04280199483036995,0.5230746865272522,0.5385499596595764,0.0,0.0,0.0,0.6161338090896606,2.5314712524414062,0.1480780690908432,38213.0,40707.0,40735.0,38317.0,39493.6796875,0.6025368571281433,2.619982957839966,0.1440224051475525
7.56,0.0424610897898674,0.5211901664733887,0.5384151935577393,0.0,0.0,0.0,0.5830327868461609,2.691167116165161,0.1402951031923294,39294.0,39140.0,39796.0,40090.0,39580.5625,0.5276603698730469,2.7888052463531494,0.13088349997997284
7.58,0.04259932041168213,0.5203136205673218,0.5416569709777832,0.0,0.0,0.0,0.5276603698730469,2.7888052463531494,0.13088349997997284,39488.0,39754.0,39568.0,39390.0,39550.8671875,0.48683029413223267,2.7948195934295654,0.11772648245096207
7.6,0.041429270058870316,0.5212033987045288,0.538335919380188,0.0,0.0,0.0,0.4600379765033722,2.8210532665252686,0.10942906141281128,39237.0,40345.0,39909.0,39009.0,39625.79296875,0.43351975083351135,2.806905508041382,0.10574409365653992
7.62,0.0423295833170414,0.5193572640419006,0.5380319356918335,0.0,0.0,0.0,0.3930014371871948,2.756051540374756,0.0975421667098999,38624.0,42412.0,40626.0,37302.0,39741.54296875,0.3666417896747589,2.7188656330108643,0.09357967972755432
7.64,0.039715614169836044,0.5190524458885193,0.5375182032585144,0.0,0.0,0.0,0.35178035497665405,2.6955342292785645,0.08281509578227997,38843.0,41625.0,40635.0,38009.0,39778.734375,0.32428374886512756,2.6158740520477295,0.07480642199516296
7.66,0.03895310312509537,0.5181385278701782,0.5371497273445129,0.0,0.0,0.0,0.32428374886512756,2.6158740520477295,0.07480642199516296,38500.0,41616.0,41238.0,37834.0,39797.9375,0.2697036862373352,2.5234923362731934,0.07482987642288208
7.68,0.036536507308483124,0.5167436003684998,0.539508581161499,0.0,0.0,0.0,0.2697036862373352,2.5234923362731934,0.07482987642288208,40084.0,39950.0,39412.0,39398.0,39711.6796875,0.24843202531337738,2.453179121017456,0.07910823822021484
7.7,0.03482658043503761,0.5168474912643433,0.5369085669517517,0.0,0.0,0.0,0.21626707911491394,2.3701865673065186,0.08041100203990936,38886.0,41640.0,40680.0,37766.0,39743.0390625,0.19330495595932007,2.279262065887451,0.0864831879734993
7.72,0.031681954860687256,0.517559289932251,0.5365859270095825,0.0,0.0,0.0,0.1621326208114624,2.18975830078125,0.08952248096466064,40192.0,41452.0,40410.0,38566.0,40155.61328125,0.128657266497612,2.090155601501465,0.09732126444578171
7.74,0.029978951439261436,0.5175262093544006,0.5342056155204773,0.0,0.0,0.0,0.09473329037427902,1.9708768129348755,0.10476260632276535,39459.0,41615.0,41015.0,38623.0,40178.08984375,0.08358781039714813,1.852789282798767,0.10838019847869873
7.76,0.02755730040371418,0.516487181186676,0.5336349606513977,0.0,0.0,0.0,0.0793173685669899,1.7375115156173706,0.11269843578338623,39247.0,40395.0,41229.0,39929.0,40200.21875,0.05564967915415764,1.5881068706512451,0.11390446871519089
